Year,Total Arcade Revenue (billions),Computer Science Doctorates Awarded (US)
2000,1.196,861
2001,1.176,830
2002,1.269,809
2003,1.24,867
2004,1.307,948
2005,1.435,1129
2006,1.601,1453
2007,1.654,1656
2008,1.803,1787
2009,1.734,1611
